  0.2195863E-14  0.2195863E-14
 -0.7559747E-01  0.3481225E-01  0.3716637E-01  0.3785253E-01  0.3997924E-01
  0.4081923E-01  0.4275276E-01  0.4375645E-01  0.4549176E-01  0.4666667E-01
  0.4819837E-01  0.4954938E-01  0.5087277E-01  0.5240191E-01  0.5351357E-01
  0.5521996E-01  0.5611811E-01  0.5799793E-01  0.5868255E-01  0.6072922E-01
  0.6120200E-01  0.6340650E-01  0.6367060E-01  0.6602197E-01  0.6608169E-01
  0.6842791E-01  0.6857018E-01  0.7070146E-01  0.7104021E-01  0.7289440E-01
  0.7342331E-01  0.7499902E-01  0.7571279E-01  0.7700830E-01  0.7790292E-01
  0.7891628E-01  0.7998925E-01  0.8071857E-01  0.8196884E-01  0.8241258E-01
  0.8384038E-01  0.8399771E-01  0.8547532E-01  0.8560393E-01  0.8684860E-01
  0.8726138E-01  0.8812212E-01  0.8881686E-01  0.8930069E-01  0.9027534E-01
  0.9038875E-01  0.9053178E-01  0.9092367E-01  0.9143653E-01  0.9164282E-01
  0.9192825E-01  0.9211583E-01  0.9239937E-01  0.9285152E-01  0.9292925E-01
  0.9328541E-01  0.9370190E-01  0.9410204E-01  0.9414262E-01  0.9430440E-01
  0.9448480E-01  0.9474584E-01  0.9484992E-01  0.9520116E-01  0.9532915E-01
  0.9553921E-01  0.9585876E-01  0.9588909E-01  0.9610261E-01  0.9610272E-01
  0.9616542E-01  0.9642741E-01  0.9646100E-01  0.9674606E-01  0.9694759E-01
  0.9701630E-01  0.9727533E-01  0.9744432E-01  0.9752530E-01  0.9776653E-01
  0.9792758E-01  0.9799930E-01  0.9821861E-01  0.9838825E-01  0.9842975E-01
  0.9863339E-01  0.9882976E-01  0.9883467E-01  0.9901910E-01  0.9920109E-01
  0.9926726E-01  0.9937225E-01  0.9953719E-01  0.9967979E-01  0.9969613E-01
  0.9984928E-01  0.9999684E-01  0.1000822E+00  0.1001390E+00  0.1002761E+00
