 0.1243317E-13 0.1320547E-13 0.1401006E-13 0.1484761E-13 0.1571881E-13
 0.1662433E-13 0.1756490E-13 0.1854125E-13 0.1955413E-13 0.2060428E-13
 0.2169250E-13 0.2281961E-13 0.2398643E-13 0.2519379E-13 0.2644263E-13
 0.2773379E-13 0.2906824E-13 0.3044694E-13 0.3187084E-13 0.3334100E-13
 0.3485844E-13 0.3642426E-13 0.3803952E-13 0.3970541E-13 0.4142307E-13
 0.4319371E-13 0.4501857E-13 0.4689896E-13 0.4883614E-13 0.5083151E-13
 0.5288640E-13 0.5500229E-13 0.5718062E-13 0.5942284E-13 0.6173062E-13
 0.6410544E-13 0.6654897E-13 0.6906286E-13 0.7164888E-13 0.7430874E-13
 0.7704429E-13 0.7985740E-13 0.8274991E-13 0.8572388E-13 0.8878124E-13
 0.9192408E-13 0.9515449E-13 0.9847469E-13 0.1018869E-12 0.1053933E-12
 0.1089964E-12 0.1126985E-12 0.1165021E-12 0.1204098E-12 0.1244240E-12
 0.1285474E-12 0.1327829E-12 0.1371332E-12 0.1416011E-12 0.1461895E-12
 0.1509016E-12 0.1557403E-12 0.1607089E-12 0.1658105E-12 0.1710486E-12
 0.1764264E-12 0.1819475E-12 0.1876155E-12 0.1934340E-12 0.1994069E-12
 0.2055378E-12 0.2118309E-12 0.2182901E-12 0.2249195E-12 0.2317234E-12
 0.2387062E-12 0.2458724E-12 0.2532264E-12 0.2607729E-12 0.2685168E-12
 0.2764630E-12 0.2846165E-12 0.2929824E-12 0.3015661E-12 0.3103729E-12
 0.3194087E-12 0.3286781E-12 0.3381883E-12 0.3479447E-12 0.3579530E-12
 0.3682201E-12 0.3787519E-12 0.3895555E-12 0.4006372E-12 0.4120037E-12
 0.4236625E-12 0.4356209E-12 0.4478861E-12 0.4604660E-12 0.4733674E-12
 0.4865995E-12
 0.1357746E-05 0.1397821E-05 0.1439221E-05 0.1481995E-05 0.1526198E-05
 0.1571886E-05 0.1619117E-05 0.1667951E-05 0.1718454E-05 0.1770693E-05
 0.1824737E-05 0.1880660E-05 0.1938541E-05 0.1998460E-05 0.2060503E-05
 0.2124759E-05 0.2191325E-05 0.2260298E-05 0.2331784E-05 0.2405891E-05
 0.2482737E-05 0.2562444E-05 0.2645141E-05 0.2730964E-05 0.2820056E-05
 0.2912568E-05 0.3008664E-05 0.3108511E-05 0.3212291E-05 0.3320191E-05
 0.3432415E-05 0.3549176E-05 0.3670700E-05 0.3797228E-05 0.3929019E-05
 0.4066341E-05 0.4209485E-05 0.4358760E-05 0.4514495E-05 0.4677037E-05
 0.4846764E-05 0.5024071E-05 0.5209386E-05 0.5403167E-05 0.5605900E-05
 0.5818112E-05 0.6040360E-05 0.6273252E-05 0.6517432E-05 0.6773595E-05
 0.7042493E-05 0.7324932E-05 0.7621786E-05 0.7933991E-05 0.8262564E-05
 0.8608604E-05 0.8973300E-05 0.9357940E-05 0.9763927E-05 0.1019278E-04
 0.1064614E-04 0.1112583E-04 0.1163379E-04 0.1217216E-04 0.1274329E-04
 0.1334973E-04 0.1399428E-04 0.1468002E-04 0.1541030E-04 0.1618884E-04
 0.1701972E-04 0.1790743E-04 0.1885691E-04 0.1987367E-04 0.2096375E-04
 0.2213386E-04 0.2339145E-04 0.2474478E-04 0.2620307E-04 0.2777653E-04
 0.2947657E-04 0.3131596E-04 0.3330890E-04 0.3547135E-04 0.3782116E-04
 0.4037833E-04 0.4316535E-04 0.4620749E-04 0.4953316E-04 0.5317436E-04
 0.5716716E-04 0.6155242E-04 0.6637575E-04 0.7168903E-04 0.7755086E-04
 0.8402742E-04 0.9119348E-04 0.9913297E-04 0.9883876E-04 0.9388478E-04
 0.8885394E-04 0.9001668E-04 0.9815051E-04 0.1071948E-03 0.1172636E-03
 0.1275333E-03 0.1410004E-03 0.1549726E-03 0.1705815E-03 0.1880279E-03
 0.2075362E-03 0.2293568E-03 0.2537637E-03 0.2810637E-03 0.3115917E-03
 0.3457127E-03 0.3838273E-03 0.4263683E-03 0.4738042E-03 0.5266365E-03
 0.5854046E-03 0.6506741E-03 0.7230497E-03 0.8031633E-03 0.8916708E-03
 0.9892547E-03 0.1096627E-02 0.1214499E-02 0.1343614E-02 0.1484712E-02
 0.1638539E-02 0.1805847E-02 0.1987374E-02 0.2183850E-02 0.2395984E-02
 0.2624484E-02 0.2870013E-02 0.3133220E-02 0.3414704E-02 0.3715057E-02
 0.4034825E-02 0.4374494E-02 0.4734552E-02 0.5115402E-02 0.5517454E-02
 0.5941039E-02 0.6386477E-02 0.6854047E-02 0.7343981E-02 0.7856476E-02
 0.8391736E-02 0.8949881E-02 0.9531061E-02 0.1013535E-01 0.1076286E-01
